DatGeracaoConjuntoDados,DscConjuntoUnidadeConsumidora,DscAlimentadorSubestacao,DscSubestacaoDistribuicao,NumOrdemInterrupcao,DscTipoInterrupcao,IdeMotivoInterrupcao,DataInicioInterrupcao,HoraIcicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumNivelTensao,NumUnidadeConsumidora,NumConsumidorConjunto,NumAno,NomAgenteRegulado,SigAgente,NumCPFCNPJ,VlrIndiceEnviado
26/05/2023,QUIPAPA,CUP-01M4,CUPIRA,15328607_14086338,N弛 Programada,0,30/11/2017,18:02:00,01/12/2017 18:25,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,13800,18,21418,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PALMARES,PMR-01C3,PALMARES,15328672_14086924,N弛 Programada,0,30/11/2017,18:49:00,01/12/2017 09:54,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,28,41359,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2027
26/05/2023,CAMOCIM DE SAO FELIX,CSF-01X2,CAMOCIM DE SAO FELIX,15328681_14086619,N弛 Programada,0,30/11/2017,18:54:00,01/12/2017 01:30,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,10,23346,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2140
26/05/2023,VARZEA,VZA-01V7,VARZEA,15328688_14087374,N弛 Programada,0,30/11/2017,19:01:00,01/12/2017 17:23,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,55738,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",585
26/05/2023,PALMARES,PMR-01C4,PALMARES,15328695_14086927,N弛 Programada,0,30/11/2017,19:12:00,01/12/2017 12:03,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - CORROSAO,380,1,41359,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2818
26/05/2023,MASSANGANO II,MSD-01S1,MASSANGANO II,15328702_14087288,N弛 Programada,0,30/11/2017,19:26:00,01/12/2017 16:27,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,13800,1,10590,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,IMBIRIBEIRA,IBR-01I5,IMBIRIBEIRA,15328712_14087966,N弛 Programada,0,30/11/2017,19:40:00,02/12/2017 09:47,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - CORROSAO,380,1,36821,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,SAO FRANCISCO,SFC-01C3,SAO FRANCISCO,15328726_14086844,N弛 Programada,0,30/11/2017,20:02:00,01/12/2017 10:20,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - ARVORE OU VEGETACAO,13800,188,1858,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3222
26/05/2023,SAO FRANCISCO,SFC-01C3,SAO FRANCISCO,15328726_14086843,N弛 Programada,0,30/11/2017,20:02:00,01/12/2017 10:20,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - ARVORE OU VEGETACAO,13800,25,1858,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,CRUZ DE REBOUCAS,CRS-01C4,CRUZ DE REBOUCAS,15328739_14086758,N弛 Programada,1,30/11/2017,20:22:00,01/12/2017 09:10,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,28948,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",5586
